shortlist_rank,screen_gate_v2,name,generator_family,lineage_atoms,source_confidence,scope,gate,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,itunes_exact_countries,itunes_unknown_countries,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,web_result_count,web_exact_hits,web_near_hits,web_sample_domains,web_source,pypi_exists,npm_exists,social_github_available,social_linkedin_available,social_x_available,social_instagram_available,social_unavailable_count,social_unknown_count,adversarial_risk,adversarial_top_hits,psych_spelling_risk,psych_trust_proxy,gibberish_penalty,gibberish_flags,false_friend_risk,false_friend_hits,trademark_dpma_url,trademark_swissreg_url,trademark_tmview_url,external_penalty,hard_fail,fail_reason,recommendation
11,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",terrana,source_pool,terra;na,0.82,global,balanced,93,24,81,0,30,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=terrana,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=terrana,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=terrana,8,False,,strong
12,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",verobil,blend,vero;stabil,0.87,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verobil,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verobil,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verobil,8,False,,strong
13,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",veromen,blend,vero;lumen,0.88,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veromen,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veromen,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veromen,8,False,,strong
14,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",fairshava,expression,fairsha;va,0.55,global,balanced,94,28,80,0,37,scalara,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=fairshava,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=fairshava,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=fairshava,8,False,,strong
15,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",trueledla,expression,trueled;la,0.55,global,balanced,94,28,80,0,37,utilaro,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=trueledla,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=trueledla,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=trueledla,8,False,,strong
16,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",verorio,source_pool,vero;rio,0.90,global,balanced,88,24,76,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verorio,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verorio,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verorio,8,False,,strong
17,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",domuso,suggestive,domus;o,0.00,global,balanced,88,26,75,0,33,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=domuso,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=domuso,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=domuso,8,False,,strong
18,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",nexava,coined,nexa;va,0.00,global,balanced,88,26,75,0,30,immonet,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=nexava,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=nexava,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=nexava,10,False,,strong
19,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",nexaza,coined,nexa;za,0.00,global,balanced,88,26,75,0,30,immonet,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=nexaza,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=nexaza,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=nexaza,10,False,,strong
20,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",terraex,suggestive,terra;ex,0.00,global,balanced,93,26,80,0,30,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=terraex,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=terraex,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=terraex,10,False,,strong
