name,language_hint,semantic_category,confidence_weight,source_label,note
folivo,coined,finance,0.60,curated_lexicon_v2,folio blend
nexora,coined,operations,0.64,curated_lexicon_v2,nexus blend
civora,coined,property,0.62,curated_lexicon_v2,civic blend
ordivo,coined,governance,0.60,curated_lexicon_v2,order blend
stavera,coined,stability,0.58,curated_lexicon_v2,stable blend
lumera,coined,clarity,0.60,curated_lexicon_v2,light blend
altora,coined,quality,0.58,curated_lexicon_v2,elevated blend
fidora,coined,trust,0.58,curated_lexicon_v2,trust blend
equora,coined,fairness,0.56,curated_lexicon_v2,equity blend
metora,coined,operations,0.56,curated_lexicon_v2,measurement blend
harva,coined,stability,0.54,curated_lexicon_v2,safe sounding atom
briva,coined,clarity,0.52,curated_lexicon_v2,clean sounding atom
norva,coined,governance,0.54,curated_lexicon_v2,norm-derived blend
regiva,coined,governance,0.54,curated_lexicon_v2,rule-derived blend
